repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
brettkromkamp/topic-db,216,13,7,0,2,
google/Accessibility-Test-Framework-for-Android,355,118,7,3,7,
artkirienko/dotfiles,1,0,7,0,0,
benawad/apollo-mocked-provider,89,24,7,20,9,Type
vikhyatsingh123/SlugTerra,15,88,7,15,64,
openfoodfacts/DriveOFF,1,6,7,1,0,
agamjotsingh18/codesetgo-website,8,25,7,0,14,CSS
thepranaygupta/Data-Structures-and-Algorithms,616,256,7,17,111,
EddieHubCommunity/api,52,54,7,2,20,Type
avikalpg/free-time,2,5,7,0,2,
adrianhajdin/portfolio_website,0,421,7,10,2,
artkirienko/dotfiles,1,0,7,0,0,
openfoodfacts/folksonomy_engine,2,1,7,0,2,
cheeaun/busrouter-sg,281,97,7,8,2,
ricksaha2000/,2,7,7,2,7,
taranjeet/django-starter-skeleton,2,0,7,0,0,
defuse/crackstation,103,35,7,0,5,Hack
offensive-security/nethunter-LRT,289,94,7,2,7,
simonw/airtable-export,69,8,7,2,3,
adrianhajdin/project_fitness_app,455,138,7,2,0,
agamjotsingh18/codesetgo-website,8,25,7,0,14,CSS
btholt/complete-intro-to-containers,765,166,6,21,11,
mitsuhiko/classy,268,43,6,7,4,
taranjeet/code-snippets,4,1,6,0,0,
kdeldycke/click-extra,9,2,6,4,5,
WhiteHouse/datacenters,21,39,6,11,11,
offensive-security/kali-cloud-build,90,135,6,1,0,
kdeldycke/kdeldycke,2,3,6,0,2,
kdeldycke/mail-deduplicate,127,34,6,10,18,
WhiteHouse/logger,5,7,6,0,3,PHP
dwij2812/FlightBooking-system,6,2,6,21,2,CSS
andrewjmead/node-course-v3-code,569,391,6,1,0,
byt3bl33d3r/duckhunter,96,39,6,0,2,
jishanshaikh4/cryptography-roadmap,24,5,6,0,0,
mager/floor.report.old,0,0,6,0,0,Type
curiousily/Deep-Learning-For-Hackers,824,391,6,0,0,Jupyter Notebook
varunKT001/testing-github-templates,1,0,6,0,0,
defuse/crackstation-hashdb,296,106,6,1,2,PHP
EddieHubCommunity/gh-actions--table-generator,23,13,6,0,6,
EddieHubCommunity/template,6,10,6,1,10,
Ishita-0112/Pysa-Hack,0,0,6,1,2,
trailofbits/AppJailLauncher,133,19,6,0,5,C++
aloisdeniel/built_vector,33,6,6,1,0,Dart
aloisdeniel/built_vector,33,6,6,1,0,Dart
donnemartin/viz,759,123,6,0,0,
localstack/awscli-local,702,58,6,0,14,
nikhilkumarsingh/facebook-messenger-bot,16,16,6,0,0,
iamshaunjp/django-playlist,162,186,6,5,0,
btholt/complete-intro-to-react-v7,528,125,6,13,13,
iamshaunjp/django-playlist,162,186,6,5,0,
localstack/helm-charts,28,44,6,1,20,Smarty
Abhishek-kumar09/AutoBot,2,0,6,0,4,
aloisdeniel/dio_retry,46,34,5,1,2,Dart
